Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_1206_3216Metric,124.0252,-101.5746,180,top
D3,LED,LED_1206_3216Metric,124.0252,-104.14,180,top
D4,GREEN LED,LED_1206_3216Metric,124.076,-85.852,180,top
J5,USB4085-GF-A_REVA4,GCT_USB4085-GF-A_REVA4,121.1994,-94.996,-90,top
J6,Serial_Connector,PinSocket_1x03_P2.54mm_Horizontal,165.862,-97.394,180,top
R10,620,R_1206_3216Metric,124.0897,-88.4682,180,top
U1,PIC32MX270F256B-I50,OST_ED281DT,145.3682,-94.9545,90,top
